data,cidade,polo,temp_ar_c,temp_max_c,temp_min_c,umidade_relativa_pct,ponto_orvalho_c,chuva_mm,radiacao_kj_m2,vento_ms,rajada_ms,origem_clima,vpd_kpa,dli_mol_m2_d
2026-01-19,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.42,26.6,19.2,90.58,19.62,2.8,13868.9,2.35,11.6,observado_horario_agregado,0.269,28.52
2026-01-20,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.94,21.0,15.9,87.5,15.7,1.0,12122.1,4.13,15.3,observado_horario_agregado,0.272,24.93
2026-01-21,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.2,21.9,14.7,85.52,14.6,0.0,17540.4,4.5,11.5,observado_horario_agregado,0.301,36.07
2026-01-22,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.84,27.38,17.34,81.28,18.1,0.0,18215.6,2.74,8.33,sazonal_sintetico,0.542,37.46
2026-01-23,Bragança Paulista/Atibaia,Circuito das Frutas-SP,24.51,32.38,17.74,71.98,18.9,22.54,21120.1,1.83,5.08,sazonal_sintetico,0.892,43.43
2026-01-24,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.57,30.06,16.21,71.46,16.87,6.41,19897.9,2.8,9.18,sazonal_sintetico,0.817,40.92
2026-01-25,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.19,25.72,17.77,70.98,16.38,0.0,24414.8,2.65,6.2,sazonal_sintetico,0.811,50.21
2026-01-26,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.29,27.98,13.92,68.58,16.0,0.0,25269.6,2.25,5.25,sazonal_sintetico,0.872,51.97
2026-01-27,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.52,31.46,16.94,81.7,19.86,0.0,24918.1,1.95,4.37,sazonal_sintetico,0.581,51.24
2026-01-28,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.28,29.58,16.84,88.79,21.03,0.0,19833.4,2.42,6.98,sazonal_sintetico,0.364,40.79
2026-01-29,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.33,29.53,15.69,80.8,19.49,0.0,14263.5,2.74,6.99,sazonal_sintetico,0.601,29.33
2026-01-30,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.35,26.68,19.57,65.04,16.36,0.0,16971.3,3.95,9.71,sazonal_sintetico,1.009,34.9
2026-01-31,Bragança Paulista/Atibaia,Circuito das Frutas-SP,25.73,33.31,18.91,79.5,21.63,8.03,25882.4,3.05,7.37,sazonal_sintetico,0.723,53.23
2026-02-01,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.15,29.39,16.84,79.67,18.08,2.0,20759.7,3.08,6.8,sazonal_sintetico,0.593,42.69
2026-02-02,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.99,29.88,15.32,95.45,21.08,20.07,19761.0,4.77,8.08,sazonal_sintetico,0.143,40.64
2026-02-03,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.55,26.74,15.86,70.54,15.66,2.09,26440.7,2.71,6.1,sazonal_sintetico,0.793,54.38
2026-02-04,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.54,30.43,16.15,77.97,19.13,0.0,25360.4,2.69,9.33,sazonal_sintetico,0.687,52.15
2026-02-05,Bragança Paulista/Atibaia,Circuito das Frutas-SP,24.24,28.11,19.73,92.6,22.76,0.0,21861.4,2.86,5.69,sazonal_sintetico,0.258,44.96
2026-02-06,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.48,27.71,17.32,83.77,19.23,2.79,20945.0,1.49,8.43,sazonal_sintetico,0.493,43.07
2026-02-07,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.44,26.13,17.42,84.52,18.35,0.0,21368.5,1.94,5.58,sazonal_sintetico,0.446,43.94
2026-02-08,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.44,27.46,14.33,81.33,17.71,0.0,22344.9,1.9,4.34,sazonal_sintetico,0.529,45.95
2026-02-09,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.49,30.22,18.68,82.78,20.04,3.0,26157.8,2.82,6.06,sazonal_sintetico,0.549,53.79
2026-02-10,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.6,32.26,15.57,85.86,20.77,15.42,22827.9,2.16,4.45,sazonal_sintetico,0.46,46.95
2026-02-11,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.29,30.67,17.18,74.7,18.23,5.87,23643.7,2.41,8.36,sazonal_sintetico,0.765,48.62
2026-02-12,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.57,25.45,16.97,86.45,18.86,0.0,24849.0,3.17,7.73,sazonal_sintetico,0.397,51.1
2026-02-13,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.81,28.01,17.69,70.63,16.93,1.74,18262.8,2.99,6.68,sazonal_sintetico,0.847,37.56
2026-02-14,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.62,27.78,17.77,82.48,19.11,7.83,23612.8,2.17,7.48,sazonal_sintetico,0.532,48.56
2026-02-15,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.73,29.4,16.27,81.37,19.01,9.97,20634.2,1.76,6.92,sazonal_sintetico,0.566,42.43
2026-02-16,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.62,31.52,16.5,75.73,18.76,0.0,14372.3,3.21,9.91,sazonal_sintetico,0.751,29.56
2026-02-17,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.68,28.4,18.88,79.82,18.64,5.3,15415.4,2.92,9.73,sazonal_sintetico,0.607,31.7
2026-02-18,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.29,30.93,16.16,75.55,18.4,0.0,18479.0,1.01,6.42,sazonal_sintetico,0.743,38.0
2026-02-19,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.4,27.58,17.53,72.33,16.86,5.2,22771.1,2.05,8.14,sazonal_sintetico,0.788,46.83
2026-02-20,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.68,29.85,14.1,77.28,18.13,0.0,21554.9,2.43,8.39,sazonal_sintetico,0.674,44.33
2026-02-21,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.12,28.98,15.12,71.94,17.51,0.0,21703.7,2.92,7.38,sazonal_sintetico,0.829,44.63
2026-02-22,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.16,27.05,13.14,81.85,16.53,0.0,26600.0,3.03,8.55,sazonal_sintetico,0.481,54.7
2026-02-23,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.72,27.87,14.58,71.45,16.01,23.98,17532.3,2.53,4.92,sazonal_sintetico,0.78,36.06
2026-02-24,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.47,27.46,15.56,84.4,18.35,0.0,20956.0,2.77,8.56,sazonal_sintetico,0.45,43.1
2026-02-25,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.2,27.17,16.45,71.06,15.41,0.0,21831.0,2.35,9.16,sazonal_sintetico,0.767,44.9
2026-02-26,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.67,28.16,17.6,75.27,16.73,8.02,18861.5,1.76,4.19,sazonal_sintetico,0.687,38.79
2026-02-27,Bragança Paulista/Atibaia,Circuito das Frutas-SP,24.11,30.07,19.28,74.77,19.06,8.6,20945.5,2.09,8.27,sazonal_sintetico,0.797,43.07
2026-02-28,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.76,26.98,14.78,88.33,18.43,0.0,16328.1,2.32,8.98,sazonal_sintetico,0.331,33.58
2026-03-01,Bragança Paulista/Atibaia,Circuito das Frutas-SP,23.29,31.11,16.48,81.26,19.54,0.0,24696.2,2.27,5.4,sazonal_sintetico,0.586,50.79
2026-03-02,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.54,25.94,13.15,77.37,15.01,15.17,18779.3,0.79,5.42,sazonal_sintetico,0.566,38.62
2026-03-03,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.38,28.6,15.7,82.24,17.83,4.22,26313.8,1.98,8.62,sazonal_sintetico,0.504,54.11
2026-03-04,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.03,26.13,15.21,63.9,14.81,0.0,20471.7,2.34,9.15,sazonal_sintetico,0.964,42.1
2026-03-05,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.58,29.6,14.28,78.24,18.23,0.0,23376.8,2.07,4.71,sazonal_sintetico,0.645,48.07
2026-03-06,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.71,27.84,17.2,92.42,21.2,0.0,20283.5,2.1,5.85,sazonal_sintetico,0.244,41.71
2026-03-07,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.78,27.05,17.48,79.25,18.63,0.0,20279.9,2.69,8.18,sazonal_sintetico,0.625,41.71
2026-03-08,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.14,27.72,15.06,78.69,16.87,0.0,18662.9,1.44,4.54,sazonal_sintetico,0.586,38.38
2026-03-09,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.93,28.31,13.87,81.94,17.32,3.94,20562.7,1.0,4.62,sazonal_sintetico,0.499,42.29
2026-03-10,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.73,30.5,16.09,84.26,19.58,0.0,21049.5,2.02,4.14,sazonal_sintetico,0.485,43.29
2026-03-11,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.21,26.59,17.36,63.89,13.99,0.0,17892.0,2.91,5.68,sazonal_sintetico,0.922,36.79
2026-03-12,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.64,26.0,14.12,65.98,12.84,8.04,19665.5,3.65,8.46,sazonal_sintetico,0.805,40.44
2026-03-13,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.79,24.62,15.31,79.11,15.61,6.65,18234.1,2.93,8.19,sazonal_sintetico,0.535,37.5
2026-03-14,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.04,27.23,13.66,72.51,14.54,0.0,26307.2,1.13,6.37,sazonal_sintetico,0.688,54.1
2026-03-15,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.97,28.44,15.56,86.57,19.29,0.0,19541.6,2.11,8.01,sazonal_sintetico,0.402,40.19
2026-03-16,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.42,25.58,15.95,75.06,16.43,4.93,24043.2,2.51,6.58,sazonal_sintetico,0.683,49.44
2026-03-17,Bragança Paulista/Atibaia,Circuito das Frutas-SP,22.14,26.79,17.92,63.6,14.85,0.0,19091.6,2.44,5.81,sazonal_sintetico,0.976,39.26
2026-03-18,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.52,24.97,15.55,68.13,14.14,0.0,20287.2,2.73,4.81,sazonal_sintetico,0.801,41.72
2026-03-19,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.28,27.72,13.84,57.63,12.81,0.0,15782.3,1.57,4.6,sazonal_sintetico,1.051,32.46
2026-03-20,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.88,28.17,17.18,75.11,16.9,0.0,18150.4,2.35,5.91,sazonal_sintetico,0.699,37.33
2026-03-21,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.52,27.68,11.7,75.3,15.58,0.0,19910.9,2.64,5.53,sazonal_sintetico,0.644,40.95
2026-03-22,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.53,26.51,13.99,73.51,16.23,0.0,23680.6,2.96,5.06,sazonal_sintetico,0.724,48.7
2026-03-23,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.91,26.03,12.74,83.9,16.69,6.15,19778.9,1.66,4.44,sazonal_sintetico,0.425,40.68
2026-03-24,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.27,26.0,15.04,84.6,17.19,0.0,22948.5,2.02,7.35,sazonal_sintetico,0.416,47.19
2026-03-25,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.19,28.37,12.64,74.88,15.16,0.0,20784.1,0.14,5.28,sazonal_sintetico,0.642,42.74
2026-03-26,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.99,25.21,12.38,60.99,11.19,12.37,23462.1,1.8,8.48,sazonal_sintetico,0.867,48.25
2026-03-27,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.28,27.55,14.26,80.12,17.31,5.32,18654.6,1.88,7.87,sazonal_sintetico,0.555,38.36
2026-03-28,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.89,25.81,12.6,79.54,15.79,5.33,25426.4,1.48,6.32,sazonal_sintetico,0.527,52.29
2026-03-29,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.5,26.08,16.02,77.68,16.04,0.0,17287.9,2.43,5.12,sazonal_sintetico,0.589,35.55
2026-03-30,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.1,28.69,15.22,82.24,17.54,0.0,16413.5,2.26,7.08,sazonal_sintetico,0.496,33.75
2026-03-31,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.99,26.24,15.71,67.07,14.4,11.56,15083.4,0.49,2.8,sazonal_sintetico,0.844,31.02
2026-04-01,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.23,28.29,14.92,89.14,19.06,0.0,24909.8,2.47,6.63,sazonal_sintetico,0.317,51.23
2026-04-02,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.1,26.69,13.47,68.22,13.75,0.0,20588.2,1.56,5.51,sazonal_sintetico,0.781,42.34
2026-04-03,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.58,25.4,12.14,80.03,15.59,0.28,17268.6,2.69,6.83,sazonal_sintetico,0.507,35.51
2026-04-04,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.0,23.87,15.05,62.83,12.57,0.0,21611.2,1.27,4.67,sazonal_sintetico,0.883,44.44
2026-04-05,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.69,22.34,11.99,67.98,11.29,19.93,19948.7,2.32,7.75,sazonal_sintetico,0.686,41.02
2026-04-06,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.96,23.47,12.56,84.96,14.96,0.0,23437.2,2.07,8.28,sazonal_sintetico,0.359,48.2
2026-04-07,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.07,23.33,11.38,72.37,12.55,0.0,13506.6,2.54,8.39,sazonal_sintetico,0.62,27.78
2026-04-08,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.47,23.79,12.07,79.92,14.45,18.85,17005.6,2.4,7.54,sazonal_sintetico,0.479,34.97
2026-04-09,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.36,26.89,14.14,75.55,15.47,0.0,16361.2,2.1,6.79,sazonal_sintetico,0.633,33.65
2026-04-10,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.47,24.47,12.36,73.01,13.07,0.0,12037.3,1.07,3.23,sazonal_sintetico,0.621,24.75
2026-04-11,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.14,24.37,13.74,83.14,15.77,0.0,20439.5,1.12,6.73,sazonal_sintetico,0.425,42.03
2026-04-12,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.43,27.4,14.64,71.78,15.78,0.0,16620.2,1.83,6.56,sazonal_sintetico,0.76,34.18
2026-04-13,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.04,23.87,14.57,60.82,11.21,0.0,19354.8,2.29,5.65,sazonal_sintetico,0.872,39.8
2026-04-14,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.51,26.97,13.6,67.51,14.01,3.16,23797.4,1.81,5.45,sazonal_sintetico,0.813,48.94
2026-04-15,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.1,23.77,13.16,76.83,13.47,0.0,16107.0,2.8,9.48,sazonal_sintetico,0.533,33.12
2026-04-16,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.06,22.76,14.44,75.59,14.18,0.0,15822.7,2.08,7.2,sazonal_sintetico,0.588,32.54
2026-04-17,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.95,23.32,11.1,61.7,10.29,0.0,17239.9,1.53,5.91,sazonal_sintetico,0.806,35.45
2026-04-18,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.74,25.81,12.57,67.44,12.23,0.0,19577.5,2.08,7.18,sazonal_sintetico,0.738,40.26
2026-04-19,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.33,24.57,15.44,68.29,13.98,0.0,15131.9,2.48,6.55,sazonal_sintetico,0.789,31.12
2026-04-20,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.67,21.19,10.94,69.64,10.6,6.08,14857.5,2.56,6.91,sazonal_sintetico,0.619,30.55
2026-04-21,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.63,24.34,13.32,62.42,12.11,0.0,19489.7,3.8,7.25,sazonal_sintetico,0.872,40.08
2026-04-22,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.29,25.92,13.91,67.49,12.79,8.23,17495.1,1.76,5.96,sazonal_sintetico,0.76,35.98
2026-04-23,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.06,24.53,12.42,66.64,11.39,0.0,10615.1,2.24,7.67,sazonal_sintetico,0.725,21.83
2026-04-24,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.8,23.16,10.14,76.98,12.2,0.0,12814.7,2.64,4.84,sazonal_sintetico,0.492,26.35
2026-04-25,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.86,25.28,14.01,77.09,14.28,0.0,20354.8,2.28,8.26,sazonal_sintetico,0.551,41.86
2026-04-26,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.95,22.68,12.64,70.25,12.0,0.0,17182.4,1.9,5.31,sazonal_sintetico,0.655,35.34
2026-04-27,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.95,25.42,14.38,68.38,12.63,0.0,13828.6,1.06,6.47,sazonal_sintetico,0.729,28.44
2026-04-28,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.59,25.64,11.82,71.95,12.98,0.0,15391.5,1.89,7.1,sazonal_sintetico,0.646,31.65
2026-04-29,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.74,26.22,13.62,65.1,13.76,0.0,15811.8,1.44,6.7,sazonal_sintetico,0.874,32.52
2026-04-30,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.1,23.38,13.71,62.63,10.63,0.0,17741.2,0.92,5.96,sazonal_sintetico,0.796,36.48
2026-05-01,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.94,22.37,10.05,63.93,9.72,3.77,11784.5,1.66,8.46,sazonal_sintetico,0.725,24.23
2026-05-02,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.56,24.55,10.79,65.91,11.74,19.98,13139.8,1.46,6.0,sazonal_sintetico,0.759,27.02
2026-05-03,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.55,25.45,11.0,62.06,10.96,0.0,16165.9,2.77,8.43,sazonal_sintetico,0.827,33.25
2026-05-04,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.08,28.49,13.15,71.19,14.32,0.0,15029.6,2.78,8.31,sazonal_sintetico,0.718,30.91
2026-05-05,Bragança Paulista/Atibaia,Circuito das Frutas-SP,19.28,26.76,13.19,75.01,14.28,0.0,16818.1,1.58,4.76,sazonal_sintetico,0.608,34.59
2026-05-06,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.55,24.34,11.97,58.64,10.28,4.88,11682.5,2.09,5.51,sazonal_sintetico,0.885,24.03
2026-05-07,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.04,28.46,12.6,69.78,13.99,0.0,16033.7,0.81,4.93,sazonal_sintetico,0.746,32.97
2026-05-08,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.26,21.73,10.25,67.91,9.84,0.0,17999.2,1.9,5.29,sazonal_sintetico,0.634,37.02
2026-05-09,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.97,25.38,9.25,71.69,11.3,0.0,16215.3,2.62,6.45,sazonal_sintetico,0.594,33.35
2026-05-10,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.5,22.41,12.35,69.07,10.32,0.0,15151.7,2.96,6.91,sazonal_sintetico,0.623,31.16
2026-05-11,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.19,22.14,12.58,58.83,8.96,0.0,14404.2,1.73,6.75,sazonal_sintetico,0.817,29.62
2026-05-12,Bragança Paulista/Atibaia,Circuito das Frutas-SP,15.75,20.76,11.74,60.03,7.75,0.0,12246.2,3.14,6.24,sazonal_sintetico,0.734,25.18
2026-05-13,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.5,28.07,11.09,68.93,12.29,0.0,14293.7,1.09,7.11,sazonal_sintetico,0.701,29.4
2026-05-14,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.24,22.59,12.43,75.78,12.4,0.0,17934.7,1.3,5.49,sazonal_sintetico,0.528,36.88
2026-05-15,Bragança Paulista/Atibaia,Circuito das Frutas-SP,15.43,20.21,9.52,52.93,6.02,0.0,13987.1,2.87,8.4,sazonal_sintetico,0.817,28.76
2026-05-16,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.01,22.29,8.39,70.71,10.15,10.12,11742.4,3.64,6.04,sazonal_sintetico,0.579,24.15
2026-05-17,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.81,22.54,11.69,76.48,13.11,11.47,12769.7,2.69,7.04,sazonal_sintetico,0.531,26.26
2026-05-18,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.49,23.54,11.6,66.94,11.88,0.0,14625.2,2.27,4.41,sazonal_sintetico,0.737,30.08
2026-05-19,Bragança Paulista/Atibaia,Circuito das Frutas-SP,20.05,27.51,11.53,71.73,14.4,0.0,12932.5,0.54,5.92,sazonal_sintetico,0.706,26.6
2026-05-20,Bragança Paulista/Atibaia,Circuito das Frutas-SP,21.28,25.85,15.78,62.82,13.84,12.15,15253.5,0.68,4.4,sazonal_sintetico,0.948,31.37
2026-05-21,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.72,24.93,11.8,66.77,11.08,0.0,15275.6,2.4,9.15,sazonal_sintetico,0.709,31.41
2026-05-22,Bragança Paulista/Atibaia,Circuito das Frutas-SP,15.7,22.78,8.6,56.12,6.92,0.0,16218.7,2.01,5.63,sazonal_sintetico,0.787,33.35
2026-05-23,Bragança Paulista/Atibaia,Circuito das Frutas-SP,14.04,19.93,9.46,50.92,4.23,0.0,17634.2,1.42,6.23,sazonal_sintetico,0.777,36.26
2026-05-24,Bragança Paulista/Atibaia,Circuito das Frutas-SP,17.35,22.65,12.72,73.8,12.11,0.0,16356.2,2.35,5.64,sazonal_sintetico,0.568,33.64
2026-05-25,Bragança Paulista/Atibaia,Circuito das Frutas-SP,15.78,20.53,10.1,60.18,7.82,0.0,10872.3,2.39,7.49,sazonal_sintetico,0.734,22.36
2026-05-26,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.28,21.68,10.7,63.75,9.03,0.0,10879.5,3.06,7.39,sazonal_sintetico,0.701,22.37
2026-05-27,Bragança Paulista/Atibaia,Circuito das Frutas-SP,15.95,20.76,10.78,57.11,7.38,0.0,13119.5,2.41,6.26,sazonal_sintetico,0.785,26.98
2026-05-28,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.56,22.78,9.77,56.82,7.92,0.0,11991.5,3.28,6.3,sazonal_sintetico,0.817,24.66
2026-05-29,Bragança Paulista/Atibaia,Circuito das Frutas-SP,18.2,25.64,10.25,65.35,11.27,0.0,9991.5,2.31,4.86,sazonal_sintetico,0.754,20.55
2026-05-30,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.87,23.76,10.5,61.34,9.14,0.0,11867.2,2.21,4.81,sazonal_sintetico,0.763,24.4
2026-05-31,Bragança Paulista/Atibaia,Circuito das Frutas-SP,16.38,21.26,11.4,68.97,10.17,4.19,11701.4,3.15,10.15,sazonal_sintetico,0.621,24.06
2026-06-01,Bragança Paulista/Atibaia,Circuito das Frutas-SP,15.1,22.33,8.1,69.37,8.98,0.0,11076.0,1.52,5.58,sazonal_sintetico,0.57,22.78
2026-06-02,Bragança Paulista/Atibaia,Circuito das Frutas-SP,14.16,19.7,6.64,68.33,7.82,0.0,12001.1,4.55,6.56,sazonal_sintetico,0.555,24.68
