data;temp_ar_media;temp_ar_max;temp_ar_min;umidade_ar_media;radiacao_PAR;chuva_mm;h_calor_extremo;h_umid_alta;pH;N_mgL;P_mgL;K_mgL;temp_substrato;umidade_solo;luminosidade_lux;acao_label;acao_nome
2025-01-20;16,8;22,4;11,4;88,9;568,5;10,8;0;9;6,14;203,4;42,3;238,1;13,7;85,6;400,1;1;Travar Irrigação
2025-01-21;16,5;21,8;12,9;84,6;654,1;15,1;0;7;5,88;187,4;46,4;287,4;13,5;87,5;445,8;1;Travar Irrigação
2025-01-22;17,8;23,5;13,1;93,3;763,4;0,0;0;9;5,97;174,2;43,1;238,6;15,3;68,1;490,4;0;Ideal
2025-01-23;17,8;24,1;14,1;85,6;642,2;2,9;0;7;6,1;204,8;42,1;270,5;14,8;84,0;478,0;0;Ideal
2025-01-24;16,9;22,2;12,8;84,7;682,9;0,0;0;5;5,94;202,4;45,7;236,6;14,2;71,0;471,2;0;Ideal
2025-01-25;17,0;23,4;11,0;82,7;559,8;10,0;0;4;5,89;186,1;39,7;271,3;14,0;77,6;372,6;0;Ideal
2025-01-26;17,9;23,6;14,0;84,5;677,1;13,6;0;5;6,0;146,3;44,6;304,7;15,2;70,8;468,5;2;Irrigar
2025-01-27;15,9;22,0;11,1;83,3;625,8;1,6;0;5;5,91;167,5;42,1;308,3;13,7;66,4;414,1;0;Ideal
2025-01-28;15,9;21,7;10,9;86,7;717,6;3,7;0;6;5,92;179,1;45,1;256,6;13,7;86,6;514,5;1;Travar Irrigação
2025-01-29;16,8;22,2;11,5;87,7;731,6;18,6;0;8;5,95;179,3;38,6;299,5;14,0;88,9;512,9;1;Travar Irrigação
2025-01-30;17,4;24,7;12,5;80,7;841,6;13,1;0;4;5,86;154,5;41,3;268,5;15,1;82,2;607,4;2;Irrigar
2025-01-31;18,0;24,8;14,5;78,5;678,6;33,5;0;4;5,81;215,0;33,0;280,9;15,8;82,5;481,4;0;Ideal
2025-02-01;19,5;24,4;15,1;76,4;656,0;11,2;0;2;5,96;144,9;42,0;207,7;16,5;92,2;450,5;1;Travar Irrigação
2025-02-02;18,7;25,8;13,9;85,7;643,2;4,0;0;4;5,84;181,6;51,3;224,2;15,7;84,1;478,1;0;Ideal
2025-02-03;17,5;23,5;13,8;79,2;597,1;7,1;0;4;5,88;164,3;49,8;309,9;15,4;73,1;417,2;0;Ideal
2025-02-04;17,7;24,9;13,4;75,0;650,0;8,7;0;0;5,84;191,0;46,5;292,0;14,7;87,4;459,7;1;Travar Irrigação
2025-02-05;16,6;23,5;13,0;85,1;596,9;0,7;0;6;5,99;213,0;40,2;269,1;13,8;61,6;423,0;0;Ideal
2025-02-06;17,8;23,6;14,1;93,5;631,5;6,3;0;8;6,2;152,4;41,7;286,0;15,4;78,4;422,6;2;Irrigar
2025-02-07;17,5;22,1;13,0;83,4;720,9;0,0;0;7;5,94;169,3;36,2;299,9;15,5;70,3;508,1;0;Ideal
2025-02-08;18,3;23,6;14,4;86,7;532,4;1,5;0;8;6,03;192,6;47,9;262,6;16,4;74,2;375,6;0;Ideal
2025-02-09;16,9;23,0;12,0;83,6;701,6;0,0;0;6;5,82;188,6;41,7;254,0;14,0;63,6;523,0;0;Ideal
2025-02-10;18,6;25,0;13,3;82,8;713,1;7,0;0;6;6,02;217,7;36,6;271,8;15,4;74,2;485,4;0;Ideal
2025-02-11;19,8;25,1;14,3;86,8;595,6;24,3;0;6;6,04;179,5;44,3;285,1;18,5;79,6;435,8;0;Ideal
2025-02-12;17,9;22,8;13,9;81,9;432,6;0,3;0;5;6,0;174,0;48,9;278,4;15,3;65,3;292,1;0;Ideal
2025-02-13;18,5;25,5;14,6;84,1;551,0;2,5;0;6;6,09;188,0;46,9;250,2;15,6;79,6;365,5;0;Ideal
2025-02-14;18,9;26,4;15,2;84,2;700,6;0,0;0;6;5,89;184,1;45,4;265,5;16,6;74,3;501,5;0;Ideal
2025-02-15;17,6;23,7;12,6;80,1;592,2;2,8;0;5;5,81;181,6;48,4;292,4;14,5;75,0;384,9;0;Ideal
2025-02-16;18,4;23,4;13,2;86,7;511,3;10,0;0;7;5,95;223,3;36,2;249,1;16,3;73,3;348,4;0;Ideal
2025-02-17;18,2;23,5;14,6;81,9;547,9;11,4;0;5;5,95;176,6;39,1;288,6;15,9;85,1;378,5;1;Travar Irrigação
2025-02-18;18,4;22,9;12,5;79,5;652,7;0,9;0;2;5,92;182,7;46,4;257,6;15,8;64,5;456,3;0;Ideal
2025-02-19;17,4;24,6;13,7;84,6;626,2;0,0;0;5;5,86;165,7;46,0;275,3;15,3;67,6;444,5;0;Ideal
2025-02-20;18,4;23,2;13,5;78,7;560,4;5,7;0;3;5,92;195,7;38,9;273,7;16,0;76,2;361,0;0;Ideal
2025-02-21;19,0;25,2;13,7;82,3;547,2;3,7;0;5;5,92;227,9;41,7;251,8;16,7;76,1;400,9;0;Ideal
2025-02-22;20,2;25,5;14,5;82,1;542,1;21,6;0;4;5,81;201,0;42,4;265,8;17,8;93,6;392,6;1;Travar Irrigação
2025-02-23;19,6;25,8;14,3;86,3;496,6;14,1;0;9;5,85;204,4;39,7;271,8;17,2;86,4;365,5;1;Travar Irrigação
2025-02-24;21,1;27,6;15,6;83,8;696,6;9,6;0;7;5,91;160,7;38,6;270,0;19,2;82,9;474,8;0;Ideal
2025-02-25;17,7;24,6;13,3;81,7;538,4;10,0;0;5;6,1;193,1;45,1;266,2;15,4;86,8;395,2;1;Travar Irrigação
2025-02-26;19,7;24,8;14,1;84,9;658,5;5,0;0;6;6,01;200,4;41,3;255,7;17,3;81,8;457,6;0;Ideal
2025-02-27;18,9;23,4;15,2;87,1;679,6;20,3;0;7;6,03;210,3;36,3;249,1;16,3;90,4;467,9;1;Travar Irrigação
2025-02-28;21,4;26,3;15,6;83,6;634,6;9,5;0;4;6,03;189,7;40,4;228,7;18,2;80,4;412,2;0;Ideal
2025-03-01;17,8;25,0;12,9;81,3;517,0;10,4;0;5;5,98;186,1;53,0;327,7;15,2;81,6;376,8;0;Ideal
2025-03-02;17,8;25,0;12,3;75,9;580,6;15,8;0;3;5,99;157,6;32,9;254,4;15,6;89,9;422,5;1;Travar Irrigação
2025-03-03;18,2;24,5;13,5;76,7;543,1;2,6;0;1;5,77;146,5;47,2;249,3;14,7;73,0;392,1;2;Irrigar
2025-03-04;16,4;22,7;11,3;79,6;469,5;13,2;0;4;5,88;182,2;39,4;260,7;13,2;81,0;336,5;0;Ideal
2025-03-05;18,4;24,9;13,6;78,3;564,5;1,7;0;3;5,9;190,6;40,2;265,5;14,8;72,4;416,6;0;Ideal
2025-03-06;18,2;23,2;12,8;79,8;440,9;3,4;0;2;5,77;180,7;44,6;301,3;15,4;69,4;279,1;0;Ideal
2025-03-07;19,3;26,5;15,6;80,7;626,9;3,3;0;3;5,9;222,4;44,5;269,4;17,0;73,5;426,6;0;Ideal
2025-03-08;19,6;25,4;15,9;82,4;491,4;30,7;0;5;5,98;193,8;40,1;245,6;17,7;91,8;335,7;1;Travar Irrigação
2025-03-09;21,5;27,1;17,4;79,8;541,3;15,5;0;6;5,97;175,6;36,9;245,0;18,1;87,3;351,5;1;Travar Irrigação
2025-03-10;20,4;26,5;16,5;81,9;544,5;9,7;0;5;5,81;149,7;39,8;264,4;17,8;74,2;363,6;2;Irrigar
2025-03-11;18,7;23,3;13,0;80,1;497,8;10,4;0;3;5,93;179,7;41,3;247,9;16,3;89,8;357,2;1;Travar Irrigação
2025-03-12;18,4;23,4;14,3;71,8;562,0;6,6;0;1;5,82;192,3;40,7;270,2;15,7;75,2;396,6;0;Ideal
2025-03-13;20,1;26,8;14,1;75,7;473,7;23,5;0;1;5,78;171,8;34,4;229,6;17,0;87,6;318,2;1;Travar Irrigação
2025-03-14;18,0;22,7;13,6;78,8;578,0;5,5;0;5;5,92;187,8;34,4;286,4;15,9;69,9;410,9;0;Ideal
2025-03-15;21,8;28,1;17,9;74,3;397,2;3,8;0;1;5,78;189,8;38,0;217,9;19,1;68,9;272,1;2;Irrigar
2025-03-16;21,1;26,3;15,6;81,4;511,6;1,4;0;4;5,81;179,2;45,4;264,4;18,7;65,2;375,7;0;Ideal
2025-03-17;19,2;24,9;14,1;85,0;653,2;12,3;0;7;5,84;193,7;44,7;282,0;16,6;81,9;472,8;0;Ideal
2025-03-18;17,8;23,1;13,0;83,5;414,6;10,6;0;4;5,8;174,6;38,4;300,9;15,5;77,0;285,6;0;Ideal
2025-03-19;21,5;27,1;16,6;77,6;437,0;3,9;0;2;5,82;174,8;47,0;229,6;19,8;75,7;322,2;0;Ideal
2025-03-20;19,8;26,5;14,5;84,3;528,9;0,0;0;5;5,89;185,9;39,3;256,9;17,6;77,9;353,6;0;Ideal
2025-03-21;21,5;26,9;17,4;78,7;498,7;14,6;0;5;5,85;183,0;34,4;278,7;18,7;82,6;342,3;0;Ideal
2025-03-22;18,2;24,4;12,2;76,6;508,9;0,1;0;1;5,8;189,1;44,1;260,7;15,3;71,0;381,0;0;Ideal
2025-03-23;19,5;25,4;13,5;75,3;516,6;0,0;0;0;5,86;206,9;39,4;273,9;16,4;59,9;350,5;2;Irrigar
2025-03-24;20,3;26,7;15,1;76,4;524,8;28,1;0;2;5,96;205,2;41,0;230,7;17,7;88,3;370,0;1;Travar Irrigação
2025-03-25;20,4;27,7;16,4;75,9;559,3;4,6;0;3;5,71;170,8;42,4;281,9;16,8;72,7;393,7;0;Ideal
2025-03-26;19,9;26,5;14,6;77,9;499,9;2,1;0;4;5,94;202,0;46,3;250,0;16,4;69,4;364,9;0;Ideal
2025-03-27;21,2;26,4;17,5;77,7;444,4;9,8;0;3;5,98;200,9;41,8;274,6;18,4;77,7;336,1;0;Ideal
2025-03-28;19,3;23,8;15,7;76,9;514,0;0,0;0;2;5,79;218,1;43,7;303,1;16,1;72,5;348,8;0;Ideal
2025-03-29;20,4;25,7;16,3;78,4;608,8;6,3;0;5;5,76;189,1;45,9;247,1;17,2;75,4;424,9;0;Ideal
2025-03-30;20,8;27,1;16,2;81,2;442,8;0,0;0;3;5,94;206,2;44,8;313,1;18,4;66,0;285,8;0;Ideal
2025-03-31;21,4;26,0;15,7;80,1;372,0;0,0;0;4;5,87;183,8;48,8;276,1;18,3;67,8;270,5;0;Ideal
2025-04-01;21,7;27,7;16,4;70,2;535,2;5,6;0;0;5,97;200,2;45,2;264,8;19,4;78,9;354,6;0;Ideal
2025-04-02;19,6;25,8;14,2;65,7;433,6;0,0;0;0;5,82;177,6;46,5;300,8;16,8;53,7;297,3;2;Irrigar
2025-04-03;19,1;24,6;14,6;79,4;266,0;15,9;0;3;5,96;206,2;41,7;263,0;16,0;90,5;173,7;1;Travar Irrigação
2025-04-04;22,6;29,4;18,2;70,0;504,2;0,0;0;0;6,02;193,2;42,7;244,4;20,0;61,4;369,7;0;Ideal
2025-04-05;21,5;26,4;17,1;74,4;390,3;12,9;0;0;5,86;175,8;47,6;265,1;19,4;77,4;278,6;0;Ideal
2025-04-06;20,3;25,0;14,3;70,4;422,5;0,0;0;0;5,87;157,0;53,1;301,0;17,6;60,8;301,0;2;Irrigar
2025-04-07;23,1;29,8;19,5;67,7;453,0;4,0;0;0;5,86;189,4;43,7;270,1;21,4;70,0;301,4;0;Ideal
2025-04-08;21,5;27,5;15,8;76,9;438,4;1,1;0;2;5,97;217,1;57,0;235,9;19,1;54,9;315,2;2;Irrigar
2025-04-09;22,9;29,4;17,9;77,5;476,6;0,0;0;3;5,83;217,7;41,9;216,4;20,1;51,6;344,9;2;Irrigar
2025-04-10;21,6;27,4;17,0;72,0;381,7;0,0;0;1;5,68;189,6;36,7;255,6;19,9;67,3;254,3;0;Ideal
2025-04-11;24,1;29,3;18,8;63,7;454,4;3,0;0;0;5,84;181,0;45,4;222,1;21,9;47,2;308,6;2;Irrigar
2025-04-12;23,8;30,7;19,1;71,7;389,3;2,7;1;1;5,81;194,8;43,7;219,8;20,8;65,2;271,3;3;Proteger
2025-04-13;21,4;28,3;15,8;75,3;466,0;0,0;0;1;5,81;178,2;47,8;251,3;18,9;78,9;304,8;0;Ideal
2025-04-14;23,0;29,6;17,2;67,6;452,9;0,0;0;0;5,7;197,5;42,3;250,1;20,1;60,5;341,0;0;Ideal
2025-04-15;22,7;28,0;18,1;74,0;325,7;0,0;0;2;5,91;203,6;39,3;230,5;18,8;58,4;242,3;2;Irrigar
2025-04-16;23,6;29,9;19,4;73,0;484,2;0,0;0;1;5,89;176,9;44,9;238,3;21,2;65,8;314,7;0;Ideal
2025-04-17;20,9;26,5;15,9;75,2;351,3;0,0;0;1;5,88;208,5;43,3;283,9;19,8;66,4;251,8;0;Ideal
2025-04-18;23,0;27,7;17,2;73,1;455,8;0,0;0;1;5,79;186,7;46,8;263,0;19,9;63,8;341,0;0;Ideal
2025-04-19;23,5;30,7;19,5;68,6;417,4;14,3;1;0;5,89;200,6;39,1;274,8;21,1;72,5;297,0;3;Proteger
2025-04-20;20,2;25,1;15,1;77,0;532,1;18,9;0;1;5,79;176,7;40,8;276,7;17,1;93,0;381,0;1;Travar Irrigação
2025-04-21;20,9;28,3;15,9;71,4;364,1;0,0;0;2;5,79;163,5;44,4;255,1;18,5;64,1;224,8;0;Ideal
2025-04-22;20,0;25,8;14,7;71,7;351,1;0,0;0;0;5,82;188,5;47,5;252,5;18,3;56,8;265,4;2;Irrigar
2025-04-23;22,2;27,3;18,4;67,9;374,5;0,4;0;0;5,83;203,2;45,1;289,7;19,5;57,5;283,5;2;Irrigar
2025-04-24;23,5;29,6;18,2;69,7;348,9;6,4;0;1;5,84;189,4;46,8;230,4;21,3;65,2;242,2;0;Ideal
2025-04-25;24,5;31,6;18,7;67,7;434,2;0,0;3;0;5,83;153,3;41,9;285,9;22,4;58,7;307,6;3;Proteger
2025-04-26;22,8;29,5;18,9;70,3;238,1;2,9;0;0;5,83;214,7;42,7;264,4;20,9;61,2;190,0;0;Ideal
2025-04-27;24,8;31,7;20,7;77,7;280,2;3,5;2;3;5,71;213,5;41,8;244,8;21,3;61,0;180,6;3;Proteger
2025-04-28;21,2;27,7;15,3;65,1;276,3;7,8;0;0;5,8;190,6;44,9;270,2;18,9;68,3;180,2;0;Ideal
2025-04-29;20,9;27,5;17,0;63,9;435,0;3,3;0;0;5,99;175,9;50,0;262,3;18,4;76,5;323,6;0;Ideal
2025-04-30;23,0;30,0;17,4;76,1;493,1;10,6;0;2;5,85;175,2;39,8;266,5;20,9;75,6;354,5;0;Ideal
2025-05-01;23,6;28,8;18,9;69,2;345,2;4,1;0;0;5,98;192,0;44,2;217,7;19,8;68,1;240,2;2;Irrigar
2025-05-02;23,2;29,1;19,0;67,1;337,4;0,6;0;0;5,81;190,8;44,5;285,5;20,7;57,9;251,0;2;Irrigar
2025-05-03;20,8;26,0;15,1;73,7;353,9;0,0;0;0;5,83;201,4;43,1;250,6;18,3;67,0;254,9;0;Ideal
2025-05-04;23,2;30,7;18,6;67,0;438,7;2,7;1;0;5,83;150,2;41,9;276,9;20,6;63,3;321,9;3;Proteger
2025-05-05;21,9;29,2;17,1;76,5;269,0;0,0;0;3;5,8;164,0;44,4;250,4;18,9;64,2;195,7;0;Ideal
2025-05-06;24,3;28,9;19,9;71,7;359,8;0,0;0;0;5,83;188,5;52,3;244,2;21,9;56,6;239,2;2;Irrigar
2025-05-07;24,0;30,6;19,0;66,8;416,3;3,2;0;0;5,8;173,4;44,8;312,7;21,2;61,4;290,5;3;Proteger
2025-05-08;22,5;29,8;18,6;77,2;376,0;0,0;0;2;5,9;191,7;50,1;199,3;18,8;61,1;279,6;2;Irrigar
2025-05-09;23,1;28,1;18,6;66,0;348,7;0,0;0;0;5,72;132,2;47,3;263,7;20,1;55,9;229,5;2;Irrigar
2025-05-10;22,5;28,7;16,6;71,2;411,3;0,0;0;1;5,86;174,6;47,0;188,6;19,6;56,4;284,0;2;Irrigar
2025-05-11;23,8;31,0;19,6;69,2;112,6;8,2;2;1;5,81;204,9;33,5;256,0;21,6;81,4;71,6;3;Proteger
2025-05-12;25,1;29,7;19,9;73,0;380,9;0,0;1;1;5,82;147,9;35,4;270,8;22,6;65,4;246,0;2;Irrigar
2025-05-13;22,8;29,4;18,5;73,9;272,2;0,0;0;2;5,89;222,9;46,7;265,6;20,3;53,5;210,8;2;Irrigar
2025-05-14;24,7;30,1;19,2;67,5;175,9;1,8;0;0;5,77;196,6;37,9;221,8;22,9;58,7;144,9;3;Proteger
2025-05-15;23,5;30,8;19,7;64,2;361,1;4,3;2;0;5,84;151,8;46,4;242,8;21,4;66,4;229,7;3;Proteger
2025-05-16;23,3;30,7;17,3;68,9;428,1;0,0;1;1;5,86;223,1;47,0;255,5;21,3;62,8;302,8;3;Proteger
2025-05-17;24,1;31,5;19,5;64,1;305,2;0,0;2;0;5,76;189,2;49,1;234,2;22,4;59,2;200,3;3;Proteger
2025-05-18;23,1;29,0;19,0;74,7;390,5;2,6;0;4;5,93;179,9;46,7;250,3;20,6;68,6;277,7;0;Ideal
2025-05-19;23,7;30,8;20,1;67,0;441,3;0,0;2;0;5,69;161,7;48,7;251,7;21,0;52,4;292,7;3;Proteger
2025-05-20;23,0;30,1;19,1;64,8;415,7;0,0;0;0;5,69;182,6;42,6;234,0;20,5;64,1;322,4;3;Proteger
2025-05-21;26,9;32,3;22,1;66,9;439,9;0,0;4;0;5,58;194,9;48,9;223,0;24,5;51,5;310,7;3;Proteger
2025-05-22;24,6;31,6;20,3;60,6;366,3;0,6;3;0;5,94;192,8;46,8;249,6;21,4;58,1;274,5;3;Proteger
2025-05-23;23,8;28,4;18,2;61,9;311,3;0,0;0;0;5,73;166,6;45,5;236,3;20,9;57,8;197,4;2;Irrigar
2025-05-24;25,0;31,3;20,4;70,4;175,4;1,6;2;0;5,72;199,4;39,0;210,1;22,2;64,4;119,8;3;Proteger
2025-05-25;24,6;29,8;20,5;62,8;282,3;0,0;0;0;5,78;185,2;38,0;268,2;22,3;56,2;212,7;2;Irrigar
2025-05-26;24,6;29,4;19,5;61,1;233,0;1,0;0;0;5,73;206,4;45,1;251,2;22,1;59,4;181,4;2;Irrigar
2025-05-27;25,6;30,4;20,4;67,2;472,6;4,1;1;0;5,68;162,5;47,1;232,5;23,6;71,9;324,8;3;Proteger
2025-05-28;25,9;32,5;22,0;69,6;283,5;0,0;3;0;5,81;160,6;48,0;251,5;23,6;52,4;173,5;3;Proteger
2025-05-29;24,4;29,9;20,5;67,6;306,0;9,8;0;0;5,87;147,2;38,9;276,0;22,0;82,6;229,6;2;Irrigar
2025-05-30;24,4;31,1;20,8;68,6;338,9;0,0;3;0;5,78;183,9;44,8;212,9;21,4;55,9;206,7;3;Proteger
2025-05-31;24,8;29,5;19,5;61,4;297,0;3,4;0;0;5,81;179,1;36,6;268,1;22,7;63,8;203,1;0;Ideal
2025-06-01;22,4;27,9;17,3;58,6;427,9;0,0;0;0;5,9;197,8;46,2;252,5;20,1;70,3;290,6;0;Ideal
2025-06-02;23,4;29,5;18,7;70,1;241,4;0,0;0;0;6,02;179,2;45,1;239,5;21,0;50,7;160,8;2;Irrigar
2025-06-03;26,9;33,8;21,3;62,7;305,6;1,8;7;0;5,62;180,4;48,1;263,1;23,3;68,6;218,4;3;Proteger
2025-06-04;27,3;32,8;21,8;62,8;229,6;5,3;4;0;5,62;182,1;43,1;228,5;24,9;56,0;154,7;3;Proteger
2025-06-05;25,1;31,5;20,1;69,0;182,4;0,0;3;0;5,74;160,5;45,6;264,2;22,9;62,7;132,6;3;Proteger
2025-06-06;26,1;33,3;20,5;65,7;238,1;0,0;6;0;5,7;197,1;39,6;222,9;23,2;62,2;180,8;3;Proteger
2025-06-07;25,9;32,2;21,9;65,2;283,2;0,0;3;0;5,8;200,6;41,5;255,2;23,3;61,3;196,5;3;Proteger
2025-06-08;29,2;34,4;25,5;71,9;251,0;0,0;6;0;5,56;183,6;48,5;216,3;26,7;43,4;138,3;3;Proteger
2025-06-09;26,9;31,5;22,8;60,5;229,2;0,0;3;0;5,72;191,2;46,0;202,5;24,3;40,8;181,0;3;Proteger
2025-06-10;25,5;32,6;21,8;66,6;171,4;0,6;5;0;5,69;208,2;48,5;225,5;22,4;59,9;107,3;3;Proteger
2025-06-11;24,5;29,1;19,7;63,0;276,6;0,0;0;0;5,83;176,2;37,9;200,0;22,2;55,6;185,3;2;Irrigar
2025-06-12;23,8;30,9;18,0;63,7;162,3;0,0;1;0;5,91;211,2;43,9;248,8;21,6;52,3;117,0;3;Proteger
2025-06-13;26,0;32,1;22,4;68,7;342,9;0,0;4;0;5,79;191,4;37,3;226,9;23,1;56,6;247,3;3;Proteger
2025-06-14;24,9;32,2;21,1;64,4;288,3;0,0;3;0;5,92;174,7;43,0;280,2;22,6;65,8;206,1;3;Proteger
2025-06-15;24,1;31,0;19,5;64,4;164,6;0,0;1;0;5,75;165,2;38,8;271,1;22,2;70,8;127,9;3;Proteger
2025-06-16;25,1;32,6;19,3;66,5;256,2;0,0;4;0;5,89;173,6;40,4;270,8;22,8;58,4;185,1;3;Proteger
2025-06-17;24,6;30,2;20,3;60,6;220,4;0,0;1;0;5,84;209,4;50,2;273,9;22,6;61,8;147,4;3;Proteger
2025-06-18;28,0;34,8;23,2;58,6;305,9;0,0;8;0;5,71;150,2;49,2;221,0;25,6;46,9;222,4;3;Proteger
2025-06-19;27,1;32,8;23,5;57,7;387,4;0,0;4;0;5,69;146,5;46,7;242,0;25,0;53,9;277,1;3;Proteger
2025-06-20;26,0;32,0;22,2;53,9;130,1;26,8;3;0;5,67;174,3;38,2;289,6;24,4;69,1;107,2;3;Proteger
2025-06-21;27,8;34,2;21,9;69,8;289,2;2,3;6;1;5,48;154,7;40,0;204,8;24,6;57,6;199,2;3;Proteger
2025-06-22;26,2;33,3;20,3;57,1;267,2;0,0;5;0;5,77;193,4;46,1;277,4;23,7;48,5;202,9;3;Proteger
2025-06-23;25,1;32,6;21,6;60,5;333,8;0,0;3;0;5,75;164,9;44,3;235,7;22,4;59,9;238,9;3;Proteger
2025-06-24;28,0;34,8;22,1;60,2;297,2;7,5;7;0;5,58;166,8;45,5;260,0;26,5;68,1;225,2;3;Proteger
2025-06-25;26,8;32,6;21,7;62,5;220,2;0,0;4;0;5,6;194,5;44,8;233,9;24,4;60,0;161,7;3;Proteger
2025-06-26;25,0;30,7;19,3;64,4;255,1;2,5;1;0;5,73;197,8;41,2;256,7;22,3;59,8;190,0;3;Proteger
2025-06-27;26,0;32,7;21,4;64,5;217,2;0,0;4;0;5,67;217,9;37,7;232,0;23,7;59,5;150,5;3;Proteger
2025-06-28;25,2;30,4;20,4;58,6;367,3;0,0;1;0;5,78;187,8;44,1;296,7;23,1;62,8;242,6;3;Proteger
2025-06-29;24,6;29,5;19,9;60,2;283,4;0,0;0;0;5,81;179,0;41,0;270,0;21,9;62,7;182,3;0;Ideal
2025-06-30;27,4;33,0;22,3;61,9;434,2;0,0;5;0;5,82;156,8;45,9;266,2;24,6;58,3;285,5;3;Proteger
2025-07-01;28,6;34,0;24,8;59,7;277,8;0,0;6;0;5,73;174,8;42,6;238,5;26,5;47,2;183,2;3;Proteger
2025-07-02;24,7;30,1;21,1;67,1;226,6;23,2;0;0;5,8;164,8;47,3;237,1;22,6;77,9;143,8;3;Proteger
2025-07-03;27,1;32,3;22,8;62,6;162,8;0,0;3;0;5,7;196,1;44,2;276,5;25,1;59,4;107,1;3;Proteger
2025-07-04;25,6;30,2;20,4;63,5;140,4;0,0;0;0;5,68;174,9;45,8;264,2;22,0;56,7;100,6;3;Proteger
2025-07-05;25,8;30,4;21,8;63,1;158,6;0,0;1;0;5,74;208,4;46,7;283,2;23,2;62,0;135,6;3;Proteger
2025-07-06;25,7;33,2;20,5;65,1;307,6;0,0;4;0;5,87;161,3;44,0;238,5;23,5;60,7;202,7;3;Proteger
2025-07-07;25,4;31,2;19,5;61,1;327,8;9,7;1;0;5,79;144,8;45,9;243,4;22,9;66,9;246,6;3;Proteger
2025-07-08;26,5;32,2;22,8;55,1;161,5;0,0;4;0;5,5;183,1;44,6;252,3;24,9;49,7;124,6;3;Proteger
2025-07-09;25,5;32,0;20,3;61,9;360,6;0,0;3;0;5,81;202,7;42,3;236,1;23,5;59,6;229,3;3;Proteger
2025-07-10;26,8;32,0;22,2;57,6;251,4;0,0;3;0;5,67;186,9;48,4;240,6;22,8;57,5;157,7;3;Proteger
2025-07-11;26,4;33,8;20,7;58,1;302,9;0,0;6;0;5,57;128,4;48,3;261,4;23,8;63,5;221,6;3;Proteger
2025-07-12;26,2;33,1;22,3;62,5;421,3;0,0;4;0;5,87;151,3;44,9;209,8;23,6;54,1;304,3;3;Proteger
2025-07-13;25,4;30,2;20,2;65,1;365,3;0,0;0;0;5,78;191,3;47,8;302,3;22,7;51,5;259,4;3;Proteger
