timestamp,polo,sistema,cultivar,dias_apos_transplante,fase,N_mg_dm3,P_mg_dm3,K_mg_dm3,ph,umidade_solo_pct,temp_solo_c,temp_ar_c,temp_max_c,temp_min_c,umidade_relativa_pct,vpd_kpa,dli_mol_m2_d,chuva_mm,origem_clima,classe_acao,motivo,saude_pct
2026-03-03,Circuito das Frutas-SP,solo_convencional,San Andreas,58,floracao,43.4,33.4,172.0,6.32,24.9,22.2,21.4,28.6,15.7,82.2,0.5,54.1,4.2,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-02-22,Circuito das Frutas-SP,solo_convencional,San Andreas,142,producao,41.3,37.8,122.1,5.63,75.0,19.8,20.2,27.0,13.1,81.8,0.48,54.7,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-02-15,Circuito das Frutas-SP,solo_convencional,San Andreas,57,floracao,36.3,78.9,112.8,7.03,59.7,23.9,22.7,29.4,16.3,81.4,0.57,42.4,10.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-12-11,Circuito das Frutas-SP,solo_convencional,San Andreas,97,frutificacao,97.7,49.4,164.6,6.33,60.3,24.3,24.2,31.7,17.9,81.0,0.62,42.4,1.6,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-05-16,Circuito das Frutas-SP,solo_convencional,San Andreas,147,producao,41.8,56.4,30.6,6.36,62.1,16.3,16.0,22.3,8.4,70.7,0.58,24.2,10.1,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-11-21,Circuito das Frutas-SP,solo_convencional,San Andreas,53,floracao,42.6,202.5,175.7,5.55,81.8,23.6,23.5,31.2,16.0,70.2,0.89,48.4,2.1,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-04-16,Circuito das Frutas-SP,solo_convencional,San Andreas,21,vegetativo,30.6,69.3,138.4,5.75,68.5,21.6,19.1,22.8,14.4,75.6,0.59,32.5,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-03-21,Circuito das Frutas-SP,solo_convencional,San Andreas,180,producao,40.3,14.2,176.0,6.49,85.7,19.1,20.5,27.7,11.7,75.3,0.64,41.0,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-01-06,Circuito das Frutas-SP,solo_convencional,San Andreas,41,floracao,35.9,77.8,123.7,5.76,79.4,22.0,21.1,28.7,15.8,71.6,0.78,54.7,0.0,observado_horario_agregado,0,condições dentro do ideal,100
2026-07-05,Circuito das Frutas-SP,solo_convencional,San Andreas,47,floracao,30.4,58.7,112.5,4.61,68.3,16.9,17.5,22.7,11.0,70.9,0.63,28.5,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-03-19,Circuito das Frutas-SP,solo_convencional,San Andreas,172,producao,29.0,33.1,167.6,5.62,61.6,22.5,21.3,27.7,13.8,57.6,1.05,32.5,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-07-12,Circuito das Frutas-SP,solo_convencional,San Andreas,92,frutificacao,5.5,35.3,82.5,5.51,62.8,14.9,14.7,21.6,8.8,50.8,0.81,26.2,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-03-20,Circuito das Frutas-SP,solo_convencional,San Andreas,172,producao,28.5,40.0,112.5,5.83,20.8,21.3,21.9,28.2,17.2,75.1,0.7,37.3,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-10-19,Circuito das Frutas-SP,solo_convencional,San Andreas,90,frutificacao,8.0,37.9,94.0,6.03,80.1,18.6,19.1,24.3,13.0,78.1,0.54,39.5,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-04-15,Circuito das Frutas-SP,solo_convencional,San Andreas,47,floracao,27.4,62.1,159.5,6.26,77.3,18.7,18.1,23.8,13.2,76.8,0.53,33.1,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-02-05,Circuito das Frutas-SP,solo_convencional,San Andreas,169,producao,33.8,68.9,166.9,6.09,67.4,25.3,24.2,28.1,19.7,92.6,0.26,45.0,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-11-16,Circuito das Frutas-SP,solo_convencional,San Andreas,80,frutificacao,41.1,47.5,166.3,5.56,72.0,19.9,19.0,25.8,13.0,68.5,0.73,33.6,3.8,sazonal_sintetico,0,condições dentro do ideal,100
2026-07-14,Circuito das Frutas-SP,solo_convencional,San Andreas,97,frutificacao,29.6,8.0,134.3,5.72,74.4,13.7,13.7,20.5,7.2,63.1,0.61,19.7,19.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-01-29,Circuito das Frutas-SP,solo_convencional,San Andreas,147,producao,24.2,37.3,105.8,5.83,87.1,23.2,23.3,29.5,15.7,80.8,0.6,29.3,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-08-21,Circuito das Frutas-SP,solo_convencional,San Andreas,164,producao,36.4,71.9,112.9,6.33,27.5,15.3,16.2,22.9,10.3,71.1,0.58,35.5,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-07-23,Circuito das Frutas-SP,solo_convencional,San Andreas,111,producao,25.2,54.6,143.4,5.82,114.4,14.4,16.1,21.3,9.7,71.2,0.57,24.0,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-07-20,Circuito das Frutas-SP,solo_convencional,San Andreas,117,producao,37.6,59.2,150.6,5.8,78.7,14.6,15.7,22.0,10.0,52.6,0.83,23.4,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-07-18,Circuito das Frutas-SP,solo_convencional,San Andreas,88,frutificacao,31.6,46.3,150.6,6.36,58.4,13.5,15.2,21.9,10.2,46.1,0.89,22.9,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-10-06,Circuito das Frutas-SP,solo_convencional,San Andreas,108,frutificacao,35.0,62.7,132.8,5.75,70.1,18.7,19.7,26.5,13.9,65.1,0.82,23.2,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-03-29,Circuito das Frutas-SP,solo_convencional,San Andreas,27,vegetativo,25.9,69.0,138.1,5.65,78.8,20.8,20.5,26.1,16.0,77.7,0.59,35.6,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-04-05,Circuito das Frutas-SP,solo_convencional,San Andreas,59,floracao,27.9,70.7,96.9,7.05,67.2,18.7,17.7,22.3,12.0,68.0,0.69,41.0,19.9,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-12-29,Circuito das Frutas-SP,solo_convencional,San Andreas,49,floracao,20.2,33.1,90.3,5.81,84.4,22.6,23.9,29.8,19.4,83.7,0.54,39.7,1.3,sazonal_sintetico,0,condições dentro do ideal,100
2026-09-04,Circuito das Frutas-SP,solo_convencional,San Andreas,169,producao,36.1,61.5,97.8,7.25,58.9,16.7,14.7,21.8,9.8,61.8,0.67,25.0,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-04-28,Circuito das Frutas-SP,solo_convencional,San Andreas,35,vegetativo,27.9,66.4,18.5,5.75,67.8,18.4,18.6,25.6,11.8,72.0,0.65,31.6,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-02-08,Circuito das Frutas-SP,solo_convencional,San Andreas,77,frutificacao,35.0,55.9,166.6,6.09,75.2,22.4,21.4,27.5,14.3,81.3,0.53,46.0,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-07-10,Circuito das Frutas-SP,solo_convencional,San Andreas,148,producao,34.6,43.2,27.0,6.03,70.7,18.6,17.7,23.3,12.0,65.2,0.74,19.1,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-11-15,Circuito das Frutas-SP,solo_convencional,San Andreas,5,vegetativo,31.5,14.1,166.0,5.97,77.1,21.7,22.0,27.8,15.6,71.4,0.79,35.2,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-09-13,Circuito das Frutas-SP,solo_convencional,San Andreas,88,frutificacao,25.1,44.6,85.2,6.27,61.1,16.7,17.8,22.4,13.5,68.0,0.69,30.3,3.2,sazonal_sintetico,0,condições dentro do ideal,100
2026-05-16,Circuito das Frutas-SP,solo_convencional,San Andreas,180,producao,22.9,10.6,151.1,5.74,61.6,15.3,16.0,22.3,8.4,70.7,0.58,24.2,10.1,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-07-05,Circuito das Frutas-SP,solo_convencional,San Andreas,134,producao,41.9,70.2,120.9,6.35,86.7,18.9,17.5,22.7,11.0,70.9,0.63,28.5,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-03-25,Circuito das Frutas-SP,solo_convencional,San Andreas,74,frutificacao,22.2,45.5,175.0,6.31,70.5,19.7,20.2,28.4,12.6,74.9,0.64,42.7,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-06-04,Circuito das Frutas-SP,solo_convencional,San Andreas,41,floracao,38.5,55.6,82.2,6.48,80.7,16.1,16.3,22.3,10.0,76.9,0.48,27.4,4.9,sazonal_sintetico,0,condições dentro do ideal,100
2026-07-26,Circuito das Frutas-SP,solo_convencional,San Andreas,46,floracao,27.9,78.8,92.6,6.21,58.5,15.8,14.0,20.2,7.8,59.5,0.67,27.1,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-01-23,Circuito das Frutas-SP,solo_convencional,San Andreas,161,producao,34.3,38.5,36.3,5.81,87.8,24.3,24.5,32.4,17.7,72.0,0.89,43.4,22.5,sazonal_sintetico,3,proteger: calor do ar,82
2026-05-12,Circuito das Frutas-SP,solo_convencional,San Andreas,162,producao,35.6,40.7,171.9,5.75,61.8,15.8,15.8,20.8,11.7,60.0,0.73,25.2,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-09-19,Circuito das Frutas-SP,solo_convencional,San Andreas,65,floracao,22.9,47.2,98.9,6.24,89.1,15.6,16.6,22.5,9.3,80.6,0.42,22.7,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-08-03,Circuito das Frutas-SP,solo_convencional,San Andreas,120,producao,27.0,178.9,178.2,5.85,70.9,13.9,14.8,20.9,6.8,68.5,0.57,24.0,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-06-08,Circuito das Frutas-SP,solo_convencional,San Andreas,93,frutificacao,90.5,46.7,142.9,6.42,82.9,14.5,15.5,21.1,11.0,74.3,0.5,25.7,12.4,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-12-14,Circuito das Frutas-SP,solo_convencional,San Andreas,97,frutificacao,42.6,51.8,149.9,6.37,27.2,24.0,22.9,29.3,18.3,79.2,0.63,40.9,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-05-05,Circuito das Frutas-SP,solo_convencional,San Andreas,108,frutificacao,43.0,72.4,177.0,5.55,118.8,17.9,19.3,26.8,13.2,75.0,0.61,34.6,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-08-02,Circuito das Frutas-SP,solo_convencional,San Andreas,37,floracao,21.8,52.9,346.0,6.42,84.6,13.0,14.6,20.4,8.9,50.8,0.8,24.8,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-12-22,Circuito das Frutas-SP,solo_convencional,San Andreas,67,frutificacao,26.1,65.1,159.5,5.8,25.6,21.4,22.7,27.3,18.2,76.8,0.69,45.7,7.2,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-04-14,Circuito das Frutas-SP,solo_convencional,San Andreas,87,frutificacao,38.4,70.1,144.7,5.63,83.5,20.7,20.5,27.0,13.6,67.5,0.81,48.9,3.2,sazonal_sintetico,0,condições dentro do ideal,100
2026-10-30,Circuito das Frutas-SP,solo_convencional,San Andreas,114,producao,41.0,61.4,138.7,6.35,104.8,21.8,20.8,26.0,13.4,69.4,0.79,32.5,2.2,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-01-28,Circuito das Frutas-SP,solo_convencional,San Andreas,177,producao,40.7,5.5,99.5,6.45,70.6,24.0,23.3,29.6,16.8,88.8,0.36,40.8,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-01-16,Circuito das Frutas-SP,solo_convencional,San Andreas,44,floracao,35.3,57.9,108.1,5.51,74.4,21.8,22.2,29.6,18.5,81.7,0.56,39.8,4.6,observado_horario_agregado,0,condições dentro do ideal,100
2026-01-25,Circuito das Frutas-SP,solo_convencional,San Andreas,62,floracao,29.4,59.6,115.4,4.7,65.8,21.9,22.2,25.7,17.8,71.0,0.81,50.2,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-01-02,Circuito das Frutas-SP,solo_convencional,San Andreas,141,producao,36.0,45.8,164.2,6.29,57.8,20.3,22.2,27.8,19.7,90.2,0.29,32.4,29.0,observado_horario_agregado,0,condições dentro do ideal,100
2026-07-19,Circuito das Frutas-SP,solo_convencional,San Andreas,67,frutificacao,24.4,71.6,105.5,7.23,64.1,15.0,15.0,21.5,8.2,67.6,0.59,27.0,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-10-25,Circuito das Frutas-SP,solo_convencional,San Andreas,45,floracao,35.6,39.9,92.5,5.54,59.1,16.7,18.7,27.1,11.9,83.0,0.42,37.2,11.7,sazonal_sintetico,0,condições dentro do ideal,100
2026-10-25,Circuito das Frutas-SP,solo_convencional,San Andreas,18,vegetativo,30.0,35.6,98.4,6.32,55.8,17.7,18.7,27.1,11.9,83.0,0.42,37.2,11.7,sazonal_sintetico,0,condições dentro do ideal,100
2026-03-02,Circuito das Frutas-SP,solo_convencional,San Andreas,167,producao,28.7,71.8,144.8,6.45,67.0,19.2,19.5,25.9,13.2,77.4,0.57,38.6,15.2,sazonal_sintetico,0,condições dentro do ideal,100
2026-09-19,Circuito das Frutas-SP,solo_convencional,San Andreas,130,producao,74.1,78.2,92.1,6.15,67.1,16.6,16.6,22.5,9.3,80.6,0.42,22.7,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-11-03,Circuito das Frutas-SP,solo_convencional,San Andreas,141,producao,37.1,66.9,117.9,5.98,83.5,18.2,19.4,25.2,13.9,68.6,0.74,30.6,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-03-07,Circuito das Frutas-SP,solo_convencional,San Andreas,27,vegetativo,40.1,37.2,80.3,4.95,79.9,24.0,22.8,27.0,17.5,79.2,0.62,41.7,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-04-26,Circuito das Frutas-SP,solo_convencional,San Andreas,58,floracao,29.9,49.6,28.4,6.1,86.6,16.9,18.0,22.7,12.6,70.2,0.66,35.3,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-07-10,Circuito das Frutas-SP,solo_convencional,San Andreas,146,producao,26.2,16.6,88.1,6.27,70.6,18.7,17.7,23.3,12.0,65.2,0.74,19.1,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-10-14,Circuito das Frutas-SP,solo_convencional,San Andreas,20,vegetativo,44.3,36.9,134.1,4.62,64.8,18.3,18.9,25.5,12.6,70.3,0.69,25.8,0.0,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-12-29,Circuito das Frutas-SP,solo_convencional,San Andreas,108,frutificacao,28.5,65.4,398.0,5.74,89.8,22.1,23.9,29.8,19.4,83.7,0.54,39.7,1.3,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-03-19,Circuito das Frutas-SP,solo_convencional,San Andreas,113,producao,30.1,69.6,84.6,5.78,117.7,22.1,21.3,27.7,13.8,57.6,1.05,32.5,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-01-06,Circuito das Frutas-SP,solo_convencional,San Andreas,83,frutificacao,42.3,52.8,123.2,5.51,69.0,23.4,21.1,28.7,15.8,71.6,0.78,54.7,0.0,observado_horario_agregado,0,condições dentro do ideal,100
2026-11-27,Circuito das Frutas-SP,solo_convencional,San Andreas,15,vegetativo,27.1,56.6,169.8,5.72,82.1,21.9,23.4,28.7,17.9,85.2,0.48,44.9,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-02-19,Circuito das Frutas-SP,solo_convencional,San Andreas,150,producao,28.7,63.5,161.4,6.06,74.8,23.9,22.4,27.6,17.5,72.3,0.79,46.8,5.2,sazonal_sintetico,0,condições dentro do ideal,100
2026-12-17,Circuito das Frutas-SP,solo_convencional,San Andreas,97,frutificacao,34.0,77.6,96.0,5.5,84.7,22.5,22.7,28.2,17.2,66.5,0.94,52.8,3.8,sazonal_sintetico,0,condições dentro do ideal,100
2026-06-16,Circuito das Frutas-SP,solo_convencional,San Andreas,73,frutificacao,39.1,48.0,107.7,6.21,89.8,16.8,17.2,23.2,11.4,66.7,0.69,29.1,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-08-22,Circuito das Frutas-SP,solo_convencional,San Andreas,86,frutificacao,64.2,35.4,157.1,5.75,77.4,16.6,17.4,22.5,9.5,66.8,0.7,23.1,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-09-06,Circuito das Frutas-SP,solo_convencional,San Andreas,103,frutificacao,35.7,54.6,124.7,6.08,107.1,18.8,20.4,24.4,14.4,56.0,1.03,21.6,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-01-09,Circuito das Frutas-SP,solo_convencional,San Andreas,29,vegetativo,10.5,40.8,125.2,5.96,74.0,26.4,25.1,32.6,20.0,69.6,1.1,49.2,1.0,observado_horario_agregado,3,proteger: calor do ar,82
2026-07-20,Circuito das Frutas-SP,solo_convencional,San Andreas,61,floracao,35.9,69.0,106.2,6.05,82.8,16.5,15.7,22.0,10.0,52.6,0.83,23.4,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-12-16,Circuito das Frutas-SP,solo_convencional,San Andreas,117,producao,23.1,72.7,88.7,6.3,74.1,25.9,24.2,31.0,18.8,77.3,0.73,39.5,0.2,sazonal_sintetico,0,condições dentro do ideal,100
2026-09-29,Circuito das Frutas-SP,solo_convencional,San Andreas,11,vegetativo,24.3,53.2,127.0,5.93,56.4,18.7,18.0,24.2,12.1,69.6,0.67,33.4,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-02-27,Circuito das Frutas-SP,solo_convencional,San Andreas,52,floracao,37.0,38.6,87.5,7.96,70.0,24.3,24.1,30.1,19.3,74.8,0.8,43.1,8.6,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-12-29,Circuito das Frutas-SP,solo_convencional,San Andreas,75,frutificacao,29.8,5.6,141.6,6.4,57.5,25.2,23.9,29.8,19.4,83.7,0.54,39.7,1.3,sazonal_sintetico,2,"irrigar/adubar/corrigir: falta, seca ou pH baixo",88
2026-10-29,Circuito das Frutas-SP,solo_convencional,San Andreas,40,floracao,34.8,36.2,126.6,6.26,76.8,18.4,17.4,21.3,13.7,67.8,0.68,41.4,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-03-15,Circuito das Frutas-SP,solo_convencional,San Andreas,140,producao,27.9,77.4,161.9,6.44,71.1,21.1,22.0,28.4,15.6,86.6,0.4,40.2,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-06-03,Circuito das Frutas-SP,solo_convencional,San Andreas,5,vegetativo,33.2,58.9,130.6,6.12,59.2,15.0,15.8,21.1,9.2,67.6,0.62,33.1,7.6,sazonal_sintetico,0,condições dentro do ideal,100
2026-11-07,Circuito das Frutas-SP,solo_convencional,San Andreas,160,producao,33.4,49.1,158.6,6.05,109.5,20.8,21.8,26.2,14.9,82.3,0.51,44.2,0.0,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
2026-03-20,Circuito das Frutas-SP,solo_convencional,San Andreas,152,producao,37.6,78.6,141.5,5.98,68.4,21.2,21.9,28.2,17.2,75.1,0.7,37.3,0.0,sazonal_sintetico,0,condições dentro do ideal,100
2026-01-19,Circuito das Frutas-SP,solo_convencional,San Andreas,105,frutificacao,22.7,61.7,112.0,6.11,74.5,23.1,21.4,26.6,19.2,90.6,0.27,28.5,2.8,observado_horario_agregado,0,condições dentro do ideal,100
2026-12-21,Circuito das Frutas-SP,solo_convencional,San Andreas,170,producao,34.0,32.4,104.9,7.64,67.8,24.7,23.8,30.6,16.8,75.9,0.75,37.5,8.2,sazonal_sintetico,1,"travar/corrigir: excesso, encharcamento ou pH alto",88
