timestamp,polo,sistema,cultivar,dias_apos_transplante,fase,ce_ms_cm,ph,N,P,K,Ca,Mg,temp_solucao_c,od_mg_l,vazao_l_min,nivel_reservatorio_pct,temp_ar_c,temp_max_c,temp_min_c,umidade_relativa_pct,vpd_kpa,dli_mol_m2_d,origem_clima,ce_alvo_min,ce_alvo_max,classe_acao,motivo,saude_pct
2026-11-05,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,20,vegetativo,0.94,5.81,97.6,24.3,163.9,72.1,24.1,21.7,7.81,1.06,80.9,21.8,30.0,13.5,72.7,0.78,28.5,sazonal_sintetico,0.9,1.2,0,condições dentro do ideal,100
2026-01-28,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,180,producao,1.49,5.96,161.6,41.2,249.5,114.6,40.5,23.3,7.16,1.03,6.0,24.5,31.1,17.8,91.8,0.36,29.4,sazonal_sintetico,1.4,1.7,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-05-03,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,140,producao,1.69,5.99,165.7,50.3,308.9,141.0,44.6,20.8,7.75,0.81,12.6,19.5,27.0,12.0,65.1,0.83,23.9,sazonal_sintetico,1.4,1.7,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-04-27,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,127,producao,1.7,5.72,181.7,43.5,277.1,134.5,40.8,21.6,7.02,1.0,12.9,21.2,26.9,15.4,71.4,0.73,20.5,sazonal_sintetico,1.4,1.7,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-07-16,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,111,producao,0.91,6.11,88.3,23.7,132.0,73.8,21.0,18.2,9.39,1.16,97.1,17.1,23.0,11.1,55.7,0.85,20.7,sazonal_sintetico,1.4,1.7,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-10-11,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,28,vegetativo,1.6,5.51,177.5,41.0,281.9,135.3,38.7,21.3,8.9,1.52,91.5,19.6,25.6,13.5,69.8,0.76,17.2,sazonal_sintetico,0.9,1.2,1,travar/corrigir: CE ou pH alto,88
2026-05-01,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,41,floracao,1.12,6.03,119.4,28.6,184.1,83.0,32.3,19.8,8.86,1.19,83.0,17.5,23.9,11.0,66.9,0.72,17.4,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-11-04,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,28,vegetativo,0.93,5.99,94.1,23.8,160.4,73.3,24.1,25.0,7.35,0.96,76.5,23.6,29.2,18.0,72.8,0.82,30.6,sazonal_sintetico,0.9,1.2,0,condições dentro do ideal,100
2026-02-02,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,152,producao,1.4,6.1,130.6,35.3,247.2,116.4,39.0,24.6,7.45,1.27,58.1,23.8,31.4,16.3,98.4,0.14,29.3,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-05-17,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,63,floracao,2.0,5.91,196.4,56.0,337.2,154.2,53.3,16.9,9.05,1.15,65.4,18.4,24.0,12.7,79.5,0.53,18.9,sazonal_sintetico,1.1,1.4,1,travar/corrigir: CE ou pH alto,88
2026-03-03,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,123,producao,1.56,6.2,160.3,43.3,261.1,135.7,40.6,25.2,7.66,1.19,10.3,23.4,30.1,16.7,85.2,0.5,39.0,sazonal_sintetico,1.4,1.7,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-02-22,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,59,floracao,1.57,5.62,152.9,40.0,243.7,131.6,37.1,21.0,8.93,1.28,95.7,21.3,28.6,14.1,84.8,0.48,39.4,sazonal_sintetico,1.1,1.4,1,travar/corrigir: CE ou pH alto,88
2026-02-15,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,56,floracao,0.69,6.13,64.5,21.4,107.3,58.4,18.9,23.0,6.45,1.22,62.9,24.1,30.9,17.3,84.4,0.57,30.5,sazonal_sintetico,1.1,1.4,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-12-11,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,116,producao,1.59,5.83,149.8,42.2,274.5,132.3,44.4,25.9,7.14,1.36,93.3,26.0,33.2,18.9,84.0,0.62,30.5,sazonal_sintetico,1.4,1.7,3,proteger: calor do ar,82
2026-05-16,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,54,floracao,1.15,6.11,114.3,29.1,179.5,86.4,30.7,17.8,7.4,1.37,90.4,16.6,23.8,9.4,73.7,0.58,17.4,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-11-21,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,65,floracao,1.32,5.68,139.6,36.2,209.7,112.1,34.7,22.7,6.67,1.47,59.5,24.9,32.8,17.0,73.2,0.89,34.8,sazonal_sintetico,1.1,1.4,3,proteger: calor do ar,82
2026-04-16,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,27,vegetativo,1.75,5.56,173.7,50.1,275.1,137.5,43.1,19.3,8.11,1.16,93.6,19.8,24.3,15.4,78.6,0.59,23.4,sazonal_sintetico,0.9,1.2,1,travar/corrigir: CE ou pH alto,88
2026-03-21,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,63,floracao,1.23,5.91,115.6,34.2,234.0,101.1,36.7,21.4,7.57,1.23,67.2,20.9,29.2,12.7,78.3,0.64,29.5,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-01-06,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,144,producao,2.18,6.01,198.1,51.9,372.9,171.6,61.6,23.3,6.64,1.33,91.5,23.5,30.2,16.8,74.6,0.78,39.4,observado_horario_agregado,1.4,1.7,1,travar/corrigir: CE ou pH alto,88
2026-07-05,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,95,frutificacao,1.41,6.09,140.5,36.2,225.5,105.3,35.8,17.9,9.33,1.09,7.5,18.1,24.2,12.0,73.9,0.63,20.5,sazonal_sintetico,1.3,1.6,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-03-19,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,71,frutificacao,1.32,5.71,150.1,35.2,222.1,104.1,30.6,23.2,7.74,0.84,88.4,22.0,29.2,14.8,60.6,1.05,23.4,sazonal_sintetico,1.3,1.6,0,condições dentro do ideal,100
2026-07-12,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,68,frutificacao,1.48,6.13,150.1,37.4,267.3,126.6,40.5,17.6,9.14,1.07,87.6,16.5,23.1,9.8,53.8,0.81,18.8,sazonal_sintetico,1.3,1.6,0,condições dentro do ideal,100
2026-03-20,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,26,vegetativo,0.68,5.92,70.0,18.8,116.8,42.7,15.8,23.8,8.25,1.44,93.4,23.9,29.7,18.2,78.1,0.7,26.9,sazonal_sintetico,0.9,1.2,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-10-19,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,120,producao,1.64,5.56,179.5,41.6,284.9,130.7,47.8,20.6,8.61,1.09,48.5,19.9,25.8,14.0,81.1,0.54,28.4,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-04-15,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,106,frutificacao,0.7,6.16,67.9,19.3,109.2,55.1,19.7,20.1,7.4,1.45,91.1,19.7,25.3,14.2,79.8,0.53,23.8,sazonal_sintetico,1.3,1.6,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-02-05,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,126,producao,1.57,5.8,147.7,39.9,254.3,112.4,40.3,26.4,7.19,0.99,62.1,25.2,29.6,20.7,95.6,0.26,32.4,sazonal_sintetico,1.4,1.7,3,proteger: solução quente,82
2026-11-16,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,1,vegetativo,1.12,5.72,114.9,29.7,207.0,95.5,30.8,20.0,8.29,1.27,92.9,20.7,27.4,14.0,71.5,0.73,24.2,sazonal_sintetico,0.9,1.2,0,condições dentro do ideal,100
2026-07-14,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,112,producao,1.55,4.58,145.5,36.9,243.2,128.2,40.3,13.6,8.93,1.13,58.2,15.1,22.0,8.2,66.1,0.61,14.2,sazonal_sintetico,1.4,1.7,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-01-29,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,34,vegetativo,0.66,5.67,72.4,16.5,111.7,54.9,16.9,24.2,8.21,1.48,80.9,23.9,31.0,16.7,83.8,0.6,21.1,sazonal_sintetico,0.9,1.2,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-08-21,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,121,producao,1.4,5.58,148.8,37.6,257.4,117.3,38.9,18.5,7.48,1.17,93.7,17.9,24.4,11.3,74.1,0.58,25.6,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-07-23,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,118,producao,1.57,4.51,147.6,40.1,249.8,124.4,42.2,15.7,8.98,1.13,52.1,16.8,22.8,10.7,74.2,0.57,17.3,sazonal_sintetico,1.4,1.7,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-07-20,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,123,producao,1.62,5.95,162.8,44.1,284.4,115.2,46.5,17.2,7.12,1.52,52.6,17.2,23.5,11.0,55.6,0.83,16.8,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-07-18,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,131,producao,1.68,6.12,170.3,41.4,283.1,122.5,46.1,19.8,6.99,1.3,91.5,17.3,23.4,11.2,49.1,0.89,16.5,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-10-06,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,107,frutificacao,1.52,5.73,161.8,38.4,235.5,122.4,39.1,21.2,8.46,1.61,10.5,21.5,28.0,14.9,68.1,0.82,16.7,sazonal_sintetico,1.3,1.6,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-03-29,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,80,frutificacao,1.6,5.94,174.6,45.8,270.3,119.2,43.3,21.5,7.69,1.26,48.1,22.3,27.6,17.0,80.7,0.59,25.6,sazonal_sintetico,1.3,1.6,0,condições dentro do ideal,100
2026-04-05,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,42,floracao,1.29,5.86,134.6,35.0,205.4,105.1,31.2,16.7,8.73,1.03,64.9,18.4,23.8,13.0,71.0,0.69,29.5,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-12-29,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,140,producao,1.7,5.91,170.1,44.2,289.5,121.5,49.0,26.9,7.74,1.37,87.0,25.8,31.3,20.4,86.7,0.54,28.6,sazonal_sintetico,1.4,1.7,3,proteger: solução quente,82
2026-09-04,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,174,producao,2.26,5.78,211.0,62.6,406.1,182.2,53.9,18.3,7.87,0.86,72.6,17.0,23.2,10.8,64.8,0.67,18.0,sazonal_sintetico,1.4,1.7,1,travar/corrigir: CE ou pH alto,88
2026-04-28,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,4,vegetativo,0.94,5.53,89.7,25.0,154.3,78.4,24.8,20.8,6.78,1.67,89.7,20.0,27.1,12.8,75.0,0.65,22.8,sazonal_sintetico,0.9,1.2,0,condições dentro do ideal,100
2026-02-08,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,36,floracao,0.95,6.08,89.3,25.9,153.0,66.9,25.5,23.2,7.73,0.54,96.7,22.1,29.0,15.3,84.3,0.53,33.1,sazonal_sintetico,1.1,1.4,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-07-10,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,115,producao,1.55,5.72,142.6,43.9,267.3,129.8,42.0,17.5,7.0,1.41,59.9,18.9,24.8,13.0,68.2,0.74,13.7,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-11-15,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,47,floracao,1.35,5.96,113.7,37.0,221.1,104.5,37.4,23.4,6.97,0.97,12.1,23.0,29.4,16.6,74.4,0.79,25.4,sazonal_sintetico,1.1,1.4,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-09-13,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,90,frutificacao,1.51,5.84,140.7,37.7,244.0,111.9,39.9,17.4,7.27,1.05,72.1,19.2,24.0,14.5,71.0,0.69,21.8,sazonal_sintetico,1.3,1.6,0,condições dentro do ideal,100
2026-05-16,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,149,producao,1.41,5.51,136.4,39.7,234.9,104.9,38.9,17.1,7.32,1.06,66.0,16.6,23.8,9.4,73.7,0.58,17.4,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-07-05,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,169,producao,1.5,5.91,129.1,36.8,246.4,111.8,37.0,17.8,9.24,1.37,58.6,18.1,24.2,12.0,73.9,0.63,20.5,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-03-25,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,63,floracao,1.4,6.02,143.1,34.5,251.5,106.5,39.9,24.8,8.07,0.81,68.2,21.8,29.9,13.6,77.9,0.64,30.8,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-06-04,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,99,frutificacao,2.31,5.85,235.7,65.3,386.3,166.7,64.4,17.6,8.69,1.19,65.1,17.4,23.8,11.0,79.9,0.48,19.7,sazonal_sintetico,1.3,1.6,1,travar/corrigir: CE ou pH alto,88
2026-07-26,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,33,vegetativo,0.95,5.61,96.9,26.5,137.7,73.3,26.5,15.2,7.59,1.36,83.3,15.3,21.7,8.8,62.5,0.67,19.5,sazonal_sintetico,0.9,1.2,0,condições dentro do ideal,100
2026-01-23,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,13,vegetativo,0.68,6.0,67.2,18.3,127.8,59.7,17.1,25.7,7.09,1.69,85.9,26.3,33.9,18.7,75.0,0.89,31.3,sazonal_sintetico,0.9,1.2,3,proteger: calor do ar,82
2026-05-12,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,62,floracao,1.35,6.07,131.7,34.2,224.8,107.5,36.3,18.3,6.85,1.4,62.2,17.5,22.3,12.7,63.0,0.73,18.1,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-09-19,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,71,frutificacao,1.43,5.67,137.7,40.8,255.4,126.7,38.1,18.1,7.23,0.87,54.5,17.2,24.0,10.3,83.6,0.42,16.4,sazonal_sintetico,1.3,1.6,0,condições dentro do ideal,100
2026-08-03,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,10,vegetativo,0.94,5.77,100.6,23.6,156.9,83.6,22.7,16.2,8.67,1.25,21.0,15.1,22.4,7.8,71.5,0.57,17.2,sazonal_sintetico,0.9,1.2,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-06-08,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,75,frutificacao,1.46,6.06,136.9,43.3,270.8,126.0,39.7,18.1,7.35,1.24,58.1,17.3,22.6,12.0,77.3,0.5,18.5,sazonal_sintetico,1.3,1.6,0,condições dentro do ideal,100
2026-12-14,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,23,vegetativo,1.15,5.85,123.2,32.0,207.6,98.9,30.1,24.9,7.71,0.74,77.2,25.0,30.8,19.3,82.2,0.63,29.4,sazonal_sintetico,0.9,1.2,0,condições dentro do ideal,100
2026-05-05,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,115,producao,1.57,5.88,169.3,44.6,289.4,119.6,42.2,22.7,8.29,0.83,78.6,21.2,28.3,14.2,78.0,0.61,24.9,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-08-02,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,155,producao,1.58,6.86,154.4,40.0,265.2,122.3,40.1,16.6,7.85,1.34,69.9,15.9,21.8,9.9,53.8,0.8,17.8,sazonal_sintetico,1.4,1.7,1,travar/corrigir: CE ou pH alto,88
2026-12-22,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,75,frutificacao,1.58,5.78,158.3,35.8,269.8,121.9,46.3,25.8,7.14,0.96,70.9,24.0,28.8,19.2,79.8,0.69,32.9,sazonal_sintetico,1.3,1.6,0,condições dentro do ideal,100
2026-04-14,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,43,floracao,1.36,6.06,145.0,34.2,245.6,111.4,35.3,22.5,6.73,1.45,99.2,21.5,28.5,14.6,70.5,0.81,35.2,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-10-30,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,63,floracao,1.25,6.09,136.3,36.1,227.8,94.4,32.3,21.6,7.79,1.35,90.7,20.9,27.4,14.4,72.4,0.79,23.4,sazonal_sintetico,1.1,1.4,0,condições dentro do ideal,100
2026-01-28,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,94,frutificacao,0.8,5.68,73.4,23.0,130.8,67.8,22.5,23.7,7.85,1.15,55.6,24.5,31.1,17.8,91.8,0.36,29.4,sazonal_sintetico,1.3,1.6,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-01-16,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,6,vegetativo,1.01,5.89,94.9,29.5,177.0,89.6,26.0,25.5,6.2,1.02,75.8,25.3,31.1,19.5,84.7,0.56,28.7,observado_horario_agregado,0.9,1.2,0,condições dentro do ideal,100
2026-01-25,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,39,floracao,2.14,5.66,203.5,60.3,343.9,154.2,57.3,23.4,7.81,1.1,61.2,23.0,27.2,18.8,74.0,0.81,36.2,sazonal_sintetico,1.1,1.4,1,travar/corrigir: CE ou pH alto,88
2026-01-02,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,107,frutificacao,2.34,5.71,233.2,66.9,350.6,167.1,59.7,23.8,7.71,1.06,64.2,25.0,29.3,20.7,93.2,0.29,23.3,observado_horario_agregado,1.3,1.6,1,travar/corrigir: CE ou pH alto,88
2026-07-19,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,134,producao,1.62,6.06,154.0,41.4,310.3,133.9,47.4,15.8,8.45,0.9,71.5,16.1,23.0,9.2,70.6,0.59,19.4,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-10-25,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,116,producao,1.5,5.53,150.8,43.7,231.4,126.2,40.1,20.8,7.45,0.81,10.2,20.8,28.6,12.9,86.0,0.42,26.8,sazonal_sintetico,1.4,1.7,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-10-25,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,42,floracao,1.4,6.78,138.4,38.8,214.5,107.3,39.7,20.4,7.99,1.23,79.9,20.8,28.6,12.9,86.0,0.42,26.8,sazonal_sintetico,1.1,1.4,1,travar/corrigir: CE ou pH alto,88
2026-03-02,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,9,vegetativo,1.3,5.73,136.6,36.0,205.3,101.6,35.3,19.9,7.26,1.24,55.6,20.8,27.4,14.2,80.4,0.57,27.8,sazonal_sintetico,0.9,1.2,1,travar/corrigir: CE ou pH alto,88
2026-09-19,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,18,vegetativo,1.07,5.01,111.3,28.5,187.1,95.1,28.8,14.8,7.58,1.02,68.1,17.2,24.0,10.3,83.6,0.42,16.4,sazonal_sintetico,0.9,1.2,2,"repor/corrigir: CE, pH, nível ou vazão baixos",88
2026-11-03,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,76,frutificacao,1.38,6.67,151.3,38.3,215.5,108.6,38.1,19.0,7.37,0.72,51.5,20.8,26.7,14.9,71.6,0.74,22.0,sazonal_sintetico,1.3,1.6,1,travar/corrigir: CE ou pH alto,88
2026-03-07,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,15,vegetativo,1.07,6.09,90.7,30.4,171.9,87.3,25.6,25.7,6.4,1.46,49.9,23.5,28.6,18.5,82.2,0.62,30.0,sazonal_sintetico,0.9,1.2,0,condições dentro do ideal,100
2026-04-26,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,113,producao,2.4,5.62,247.6,63.5,398.9,207.8,63.7,18.7,7.62,1.0,61.4,18.9,24.2,13.6,73.2,0.66,25.4,sazonal_sintetico,1.4,1.7,1,travar/corrigir: CE ou pH alto,88
2026-07-10,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,87,frutificacao,1.49,6.15,139.8,36.2,258.5,115.4,44.1,19.8,7.86,0.87,86.1,18.9,24.8,13.0,68.2,0.74,13.7,sazonal_sintetico,1.3,1.6,0,condições dentro do ideal,100
2026-10-14,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,116,producao,1.43,5.98,150.5,47.8,224.2,114.1,36.6,21.7,7.92,1.41,83.3,20.3,27.0,13.6,73.3,0.69,18.6,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
2026-12-29,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,172,producao,2.03,6.13,204.9,54.3,302.6,150.4,54.5,26.5,7.8,0.87,93.9,25.8,31.3,20.4,86.7,0.54,28.6,sazonal_sintetico,1.4,1.7,3,proteger: solução quente,82
2026-03-19,Circuito das Frutas-SP,hidroponia_nft_experimental,San Andreas,155,producao,1.6,5.76,165.0,38.5,262.9,136.4,39.5,25.1,7.8,1.08,95.2,22.0,29.2,14.8,60.6,1.05,23.4,sazonal_sintetico,1.4,1.7,0,condições dentro do ideal,100
